participant_id	CTOPP_EL_raw	CTOPP_EL_StS	CTOPP_BW_raw	CTOPP_BW_StS	CTOPP_PhonAwareness _Comp
sub-096	n/a	n/a	n/a	n/a	n/a
sub-097	13	7	14	9	88
sub-098	n/a	n/a	n/a	n/a	n/a
sub-099	n/a	n/a	n/a	n/a	n/a
sub-100	17	10	20	15	115
sub-101	18	11	n/a	n/a	n/a
sub-102	n/a	n/a	n/a	n/a	n/a
sub-103	n/a	n/a	n/a	n/a	n/a
sub-104	n/a	n/a	n/a	n/a	n/a
sub-105	n/a	n/a	n/a	n/a	n/a
sub-106	n/a	n/a	n/a	n/a	n/a
sub-107	n/a	n/a	n/a	n/a	n/a
sub-108	17	10	10	7	91
sub-109	n/a	n/a	n/a	n/a	n/a
sub-110	18	11	17	12	109
sub-111	16	9	18	13	106
sub-112	8	4	8	5	67
sub-113	n/a	n/a	n/a	n/a	n/a
sub-114	n/a	n/a	n/a	n/a	n/a
sub-115	n/a	n/a	n/a	n/a	n/a
sub-116	n/a	n/a	n/a	n/a	n/a
sub-117	n/a	n/a	n/a	n/a	n/a
sub-118	n/a	n/a	n/a	n/a	n/a
sub-119	n/a	n/a	n/a	n/a	n/a
sub-120	n/a	n/a	n/a	n/a	n/a
sub-121	n/a	n/a	n/a	n/a	n/a
sub-122	15	8	19	14	106
sub-123	n/a	n/a	n/a	n/a	n/a
sub-124	n/a	n/a	n/a	n/a	n/a
sub-125	n/a	n/a	n/a	n/a	n/a
sub-126	7	4	16	11	85
sub-127	8	5	12	8	79
sub-128	13	7	12	8	85
sub-129	n/a	n/a	n/a	n/a	n/a
sub-130	n/a	n/a	n/a	n/a	n/a
sub-131	8	6	14	9	85
sub-132	9	5	13	9	82
sub-133	16	8	16	10	94
sub-134	16	9	9	7	88
sub-135	n/a	n/a	n/a	n/a	n/a
sub-136	n/a	n/a	n/a	n/a	n/a
sub-137	n/a	n/a	n/a	n/a	n/a
sub-138	n/a	n/a	n/a	n/a	n/a
sub-139	n/a	n/a	n/a	n/a	n/a
sub-140	n/a	n/a	n/a	n/a	n/a
sub-141	n/a	n/a	n/a	n/a	n/a
sub-142	18	11	12	8	97
sub-143	19	12	19	14	118
sub-144	n/a	n/a	n/a	n/a	n/a
sub-145	14	8	14	9	91
sub-146	17	10	12	8	94
sub-147	n/a	n/a	n/a	n/a	n/a
sub-148	18	11	16	11	106
sub-149	n/a	n/a	n/a	n/a	n/a
sub-150	16	9	11	8	91
sub-151	n/a	n/a	n/a	n/a	n/a
sub-152	n/a	n/a	n/a	n/a	n/a
sub-153	n/a	n/a	n/a	n/a	n/a
sub-154	n/a	n/a	n/a	n/a	n/a
sub-155	n/a	n/a	n/a	n/a	n/a
sub-156	n/a	n/a	n/a	n/a	n/a
sub-157	n/a	n/a	n/a	n/a	n/a
sub-158	n/a	n/a	n/a	n/a	n/a
sub-159	n/a	n/a	n/a	n/a	n/a
sub-160	n/a	n/a	n/a	n/a	n/a
sub-161	n/a	n/a	n/a	n/a	n/a
sub-162	n/a	n/a	n/a	n/a	n/a
sub-163	n/a	n/a	n/a	n/a	n/a
sub-164	n/a	n/a	n/a	n/a	n/a
sub-165	n/a	n/a	n/a	n/a	n/a
sub-166	n/a	n/a	n/a	n/a	n/a
sub-167	n/a	n/a	n/a	n/a	n/a
sub-168	n/a	n/a	n/a	n/a	n/a
sub-169	n/a	n/a	n/a	n/a	n/a
sub-170	n/a	n/a	n/a	n/a	n/a
sub-171	n/a	n/a	n/a	n/a	n/a
sub-172	n/a	n/a	n/a	n/a	n/a
sub-173	n/a	n/a	n/a	n/a	n/a
sub-174	n/a	n/a	n/a	n/a	n/a
sub-175	n/a	n/a	n/a	n/a	n/a
sub-176	n/a	n/a	n/a	n/a	n/a
sub-177	n/a	n/a	n/a	n/a	n/a
sub-178	n/a	n/a	n/a	n/a	n/a
sub-179	n/a	n/a	n/a	n/a	n/a
sub-180	n/a	n/a	n/a	n/a	n/a
sub-181	n/a	n/a	n/a	n/a	n/a
sub-182	n/a	n/a	n/a	n/a	n/a
sub-183	n/a	n/a	n/a	n/a	n/a
sub-184	n/a	n/a	n/a	n/a	n/a
sub-185	n/a	n/a	n/a	n/a	n/a
sub-186	n/a	n/a	n/a	n/a	n/a
sub-187	n/a	n/a	n/a	n/a	n/a
sub-188	20	14	20	15	127
