onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	3	1	0.68	stir.wav	blur.bmp
4.826000000000004	4.8	1	1	0.739	vase.wav	chase.bmp
9.637000000000004	4.4	6	0	0.917	j.wav	b.bmp
14.062000000000001	4.8	5	0	n/a	blackcross.wav	blackcross.bmp
18.889	4.4	5	1	1.19	blackcross.wav	blackcross.bmp
23.314000000000004	4.8	2	0	0.644	ford.wav	word.bmp
28.141000000000002	4.0	6	1	1.196	r.wav	s.bmp
32.166	4.8	5	1	1.465	blackcross.wav	blackcross.bmp
36.992000000000004	4.4	5	1	1.405	blackcross.wav	blackcross.bmp
41.435	4.0	4	1	1.5	fault.wav	note.bmp
45.46000000000001	4.8	5	1	2.497	blackcross.wav	blackcross.bmp
50.286	4.4	3	1	1.231	chase.wav	grace.bmp
54.712	4.0	2	0	1.482	stood.wav	flood.bmp
58.73700000000001	4.4	5	1	1.858	blackcross.wav	blackcross.bmp
63.16300000000001	4.8	5	1	1.731	blackcross.wav	blackcross.bmp
67.989	4.4	2	1	1.276	swap.wav	gap.bmp
72.415	4.4	1	1	0.705	pile.wav	mile.bmp
76.84100000000001	4.4	4	1	1.264	rule.wav	blur.bmp
81.283	4.0	4	0	0.62	tough.wav	dull.bmp
85.308	4.4	6	0	0.931	h.wav	p.bmp
89.73400000000001	4.4	5	1	1.431	blackcross.wav	blackcross.bmp
94.16000000000001	4.4	5	1	1.343	blackcross.wav	blackcross.bmp
98.58600000000001	4.8	5	1	1.398	blackcross.wav	blackcross.bmp
103.412	4.0	1	1	0.749	brow.wav	cow.bmp
107.45400000000001	4.4	2	0	0.961	pool.wav	wool.bmp
111.88	4.8	3	1	2.285	stool.wav	rule.bmp
116.72300000000001	4.0	1	0	2.357	spoon.wav	noon.bmp
120.74800000000002	4.8	5	0	n/a	blackcross.wav	blackcross.bmp
125.57400000000001	4.4	5	1	1.39	blackcross.wav	blackcross.bmp
130.0	4.8	5	1	1.739	blackcross.wav	blackcross.bmp
134.84300000000002	4.0	1	1	0.769	toss.wav	moss.bmp
138.868	4.4	4	1	2.617	pool.wav	tooth.bmp
143.294	4.4	5	1	1.622	blackcross.wav	blackcross.bmp
147.72	4.0	6	1	0.86	i.wav	j.bmp
151.762	4.0	3	1	1.375	float.wav	note.bmp
155.786	4.8	3	1	0.705	halt.wav	fault.bmp
160.613	4.4	4	1	1.451	youth.wav	hint.bmp
165.03900000000002	4.4	5	1	1.328	blackcross.wav	blackcross.bmp
169.481	4.0	4	0	0.945	wreath.wav	leap.bmp
173.506	4.8	6	0	2.294	t.wav	u.bmp
178.333	4.8	4	1	1.337	trial.wav	fall.bmp
183.159	4.8	2	0	1.231	breath.wav	wreath.bmp
187.98600000000002	4.4	5	1	1.279	blackcross.wav	blackcross.bmp
192.428	4.8	2	0	1.339	scratch.wav	watch.bmp
197.255	4.8	5	1	1.742	blackcross.wav	blackcross.bmp
202.082	4.0	3	0	2.967	fall.wav	crawl.bmp
206.106	4.8	2	0	0.692	dose.wav	pose.bmp
210.933	4.0	1	1	1.066	frost.wav	cost.bmp
214.975	4.8	2	0	0.91	pint.wav	hint.bmp
219.80100000000002	4.8	4	1	1.757	flight.wav	threat.bmp
224.62800000000001	4.0	5	1	1.766	blackcross.wav	blackcross.bmp
228.65300000000002	4.0	5	1	1.731	blackcross.wav	blackcross.bmp
232.678	4.4	6	0	1.838	a.wav	s.bmp
237.10399999999998	4.0	4	1	1.368	cream.wav	swarm.bmp
241.14499999999998	4.0	2	0	0.821	post.wav	cost.bmp
245.187	4.0	2	1	1.709	swarm.wav	harm.bmp
249.212	4.4	5	1	2.489	blackcross.wav	blackcross.bmp
253.637	4.0	2	1	2.024	wart.wav	smart.bmp
257.662	4.0	6	0	2.57	y.wav	o.bmp
261.687	4.0	5	1	1.605	blackcross.wav	blackcross.bmp
265.712	4.8	6	1	1.341	f.wav	n.bmp
270.539	4.0	5	1	1.56	blackcross.wav	blackcross.bmp
274.564	4.4	6	0	2.047	z.wav	g.bmp
278.99	4.8	4	0	0.989	ghost.wav	pose.bmp
283.81600000000003	4.4	1	1	0.66	goat.wav	float.bmp
288.242	4.0	5	0	n/a	blackcross.wav	blackcross.bmp
292.267	4.0	5	1	1.273	blackcross.wav	blackcross.bmp
296.29200000000003	4.4	6	1	0.905	k.wav	l.bmp
300.734	4.0	4	0	0.919	rum.wav	touch.bmp
304.759	4.4	4	0	0.958	june.wav	loop.bmp
309.185	4.4	2	1	1.169	stamp.wav	swamp.bmp
313.611	4.8	1	1	0.875	soak.wav	oak.bmp
318.437	4.0	5	0	n/a	blackcross.wav	blackcross.bmp
322.462	4.0	3	1	0.688	stroke.wav	soak.bmp
326.487	4.4	3	0	0.937	bluff.wav	tough.bmp
330.913	4.8	4	1	1.106	both.wav	stroke.bmp
335.73900000000003	4.4	3	1	1.205	rum.wav	numb.bmp
340.165	4.8	3	1	1.228	odd.wav	rod.bmp
344.992	4.8	6	1	0.974	y.wav	z.bmp
349.818	4.4	6	1	1.07	c.wav	u.bmp
354.244	4.0	5	1	2.729	blackcross.wav	blackcross.bmp
358.286	4.4	1	1	1.935	beef.wav	reef.bmp
362.712	4.4	1	1	1.547	stool.wav	fool.bmp
367.137	5.2	6	0	n/a	v.wav	w.bmp
