onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	6	1	1.37	a.bmp	s.bmp
4.843	4.8	3	0	1.226	fall.bmp	crawl.bmp
9.669999999999998	4.4	3	0	1.265	leap.bmp	sweep.bmp
14.095000000000002	4.0	3	1	0.487	tense.bmp	fence.bmp
18.136999999999997	4.0	3	0	1.469	soup.bmp	loop.bmp
22.162000000000003	4.4	6	1	1.562	j.bmp	b.bmp
26.587999999999997	4.0	6	0	0.888	h.bmp	p.bmp
30.629	4.0	4	0	0.596	pool.bmp	tooth.bmp
34.653999999999996	4.8	4	1	1.955	both.bmp	stroke.bmp
39.480999999999995	4.0	1	0	n/a	quart.bmp	wart.bmp
43.506	4.8	5	1	1.711	blackcross.bmp	blackcross.bmp
48.331999999999994	4.4	6	1	1.439	a.bmp	b.bmp
52.77499999999999	4.4	2	0	1.325	pint.bmp	hint.bmp
57.217	4.4	3	0	1.012	wheel.bmp	deal.bmp
61.643	4.0	2	0	1.008	smooth.bmp	tooth.bmp
65.685	4.0	3	0	n/a	stool.bmp	rule.bmp
69.71	4.0	5	1	1.977	blackcross.bmp	blackcross.bmp
73.735	4.0	5	1	2.837	blackcross.bmp	blackcross.bmp
77.75999999999999	4.4	5	1	1.74	blackcross.bmp	blackcross.bmp
82.185	4.4	4	1	1.52	flight.bmp	threat.bmp
86.61099999999999	4.4	3	0	1.085	bluff.bmp	tough.bmp
91.053	4.8	6	0	1.563	i.bmp	r.bmp
95.88	4.8	3	0	n/a	halt.bmp	fault.bmp
100.70700000000001	4.4	2	0	1.102	dull.bmp	bull.bmp
105.14899999999999	4.0	1	1	1.626	brow.bmp	cow.bmp
109.17399999999999	4.8	1	0	1.473	goat.bmp	float.bmp
114.00099999999999	4.0	1	0	n/a	glide.bmp	bride.bmp
118.026	4.0	5	1	2.329	blackcross.bmp	blackcross.bmp
122.05	4.0	5	0	n/a	blackcross.bmp	blackcross.bmp
126.075	4.0	5	1	1.652	blackcross.bmp	blackcross.bmp
130.10000000000002	4.8	2	1	1.212	plead.bmp	spread.bmp
134.92700000000002	4.4	6	1	1.071	t.bmp	u.bmp
139.353	4.8	3	1	0.997	roast.bmp	ghost.bmp
144.179	4.0	6	1	1.265	y.bmp	z.bmp
148.204	4.8	5	1	3.361	blackcross.bmp	blackcross.bmp
153.031	4.8	3	0	1.453	odd.bmp	rod.bmp
157.857	4.4	1	1	0.651	spoon.bmp	noon.bmp
162.28300000000002	4.8	5	1	3.183	blackcross.bmp	blackcross.bmp
167.11	4.8	5	1	2.075	blackcross.bmp	blackcross.bmp
171.936	4.8	5	1	2.129	blackcross.bmp	blackcross.bmp
176.763	4.0	5	1	1.306	blackcross.bmp	blackcross.bmp
180.788	4.8	5	1	1.886	blackcross.bmp	blackcross.bmp
185.614	4.0	2	0	1.014	breath.bmp	wreath.bmp
189.639	4.4	1	1	1.41	neat.bmp	wheat.bmp
194.08200000000002	4.0	2	1	1.03	mouth.bmp	youth.bmp
198.107	4.8	1	1	1.829	toss.bmp	moss.bmp
202.93300000000002	4.8	5	1	1.711	blackcross.bmp	blackcross.bmp
207.76000000000002	4.4	6	1	1.09	g.bmp	h.bmp
212.185	4.8	4	1	0.97	rule.bmp	blur.bmp
217.012	4.0	2	0	1.536	tomb.bmp	comb.bmp
221.037	4.8	6	0	n/a	r.bmp	s.bmp
225.864	4.0	4	1	1.172	june.bmp	loop.bmp
229.905	4.4	3	0	1.421	warm.bmp	form.bmp
234.331	4.4	4	1	0.93	rum.bmp	touch.bmp
238.75700000000003	4.0	2	0	0.878	gross.bmp	moss.bmp
242.782	4.0	4	1	1.033	glow.bmp	stove.bmp
246.807	4.8	5	1	3.068	blackcross.bmp	blackcross.bmp
251.65	4.8	4	1	0.985	wheel.bmp	sneak.bmp
256.476	4.0	5	1	1.272	blackcross.bmp	blackcross.bmp
260.501	4.4	2	0	n/a	cow.bmp	glow.bmp
264.94399999999996	4.4	1	1	0.95	pile.bmp	mile.bmp
269.37	4.8	3	0	1.015	cheek.bmp	sneak.bmp
274.19599999999997	4.4	4	1	1.15	youth.bmp	hint.bmp
278.62199999999996	4.4	5	1	2.295	blackcross.bmp	blackcross.bmp
283.048	4.0	3	0	1.282	thief.bmp	beef.bmp
287.073	4.4	5	1	2.004	blackcross.bmp	blackcross.bmp
291.498	4.8	2	0	2.095	swarm.bmp	harm.bmp
296.325	4.0	6	0	1.204	l.bmp	d.bmp
300.366	4.4	2	0	0.782	both.bmp	cloth.bmp
304.792	4.4	5	0	2.248	blackcross.bmp	blackcross.bmp
309.21799999999996	4.8	4	0	1.391	cream.bmp	swarm.bmp
314.061	4.4	2	1	0.877	ford.bmp	word.bmp
318.48699999999997	4.4	1	1	0.84	vase.bmp	chase.bmp
322.91299999999995	4.0	6	1	1.219	f.bmp	n.bmp
326.954	4.8	1	1	0.934	flood.bmp	blood.bmp
331.781	4.0	3	0	1.57	quart.bmp	port.bmp
335.806	4.4	5	1	1.351	blackcross.bmp	blackcross.bmp
340.23199999999997	4.0	2	0	1.381	swap.bmp	gap.bmp
344.257	4.0	1	1	0.691	frost.bmp	cost.bmp
348.281	4.8	5	1	1.747	blackcross.bmp	blackcross.bmp
353.108	4.4	5	1	1.507	blackcross.bmp	blackcross.bmp
357.551	4.8	1	1	1.686	harm.bmp	farm.bmp
362.377	4.8	2	1	1.111	scratch.bmp	watch.bmp
367.204	5.2	5	0	n/a	blackcross.bmp	blackcross.bmp
