Stimuli	Duration (s)
bipt	0.569
blease	0.699
brith	0.597
britz	0.632
brost	0.698
brunge	0.695
cheal	0.594
chelm	0.561
cherb	0.689
chull	0.703
clease	0.697
clomb	0.697
clurl	0.686
crange	0.699
creath	0.643
crelm	0.701
crense	0.698
crove	0.701
crunge	0.7
dapse	0.615
derb	0.503
dirl	0.55
dite	0.507
drose	0.697
drough	0.632
durf	0.5
duss	0.505
fearth	0.703
flase	0.702
flirk	0.698
frood	0.703
furt	0.662
geath	0.703
gerge	0.701
glead	0.594
glearn	0.699
glough	0.67
glown	0.578
glutch	0.701
grost	0.702
hoon	0.519
horth	0.649
hurf	0.626
jase	0.699
jead	0.576
jied	0.703
kearth	0.703
kreens	0.7
larm	0.61
larp	0.703
lault	0.605
learth	0.699
meaf	0.694
melm	0.634
mense	0.699
merf	0.638
mide	0.652
morth	0.703
neaf	0.618
nearth	0.702
nense	0.689
nerge	0.702
nost	0.676
nouth	0.698
nuch	0.689
nuss	0.701
nyth	0.61
palve	0.703
pault	0.69
pite	0.522
plange	0.703
plapse	0.69
plear	0.58
plipt	0.535
plirk	0.527
plood	0.522
plose	0.699
plost	0.648
plown	0.7
poat	0.541
prange	0.703
praps	0.702
pread	0.699
prease	0.696
preash	0.591
pript	0.697
pritz	0.576
punge	0.686
putch	0.551
quarf	0.591
ralve	0.703
reash	0.614
rith	0.671
rown	0.627
scose	0.702
scouth	0.697
seaf	0.69
sharf	0.7
shase	0.698
sheel	0.625
shence	0.7
shrase	0.702
shrease	0.701
shrow	0.699
shrune	0.702
shrypt	0.701
shurb	0.601
shwarm	0.698
shwarp	0.703
shworth	0.698
skonge	0.697
slange	0.694
slear	0.702
slearn	0.701
sleash	0.695
sliche	0.698
slirk	0.693
slood	0.69
slour	0.702
slurl	0.701
slutch	0.67
smeens	0.699
smove	0.703
smow	0.676
snerge	0.7
snull	0.702
speans	0.703
spith	0.703
splirt	0.703
splour	0.699
spomb	0.701
spouth	0.703
sprune	0.699
starf	0.698
steath	0.701
sterb	0.691
stide	0.693
stirt	0.7
stomb	0.703
strough	0.698
sull	0.633
swarp	0.671
swault	0.701
swealm	0.701
swerk	0.7
swits	0.697
sworth	0.701
swove	0.697
teaf	0.529
treal	0.702
treens	0.699
trow	0.669
turl	0.61
twapse	0.697
twarf	0.702
twarm	0.659
twear	0.665
twide	0.701
twirt	0.597
twough	0.588
twove	0.696
varm	0.587
vead	0.627
vearn	0.592
vight	0.539
vitz	0.655
vomb	0.697
vood	0.549
vose	0.702
vour	0.703
vown	0.689
vuss	0.697
walve	0.702
wote	0.509
wouth	0.702
yeal	0.617
yoat	0.63
yune	0.635
yurge	0.703
zalt	0.616
zalve	0.699
zarp	0.565
zear	0.68
zite	0.617
zoat	0.602
zour	0.665
zow	0.66
zull	0.701
zurf	0.663
zurn	0.659
zus	0.591
